rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
178,map,yukina-nagasaki,長崎 (Nagasaki),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,1,114,114,113,113,snapshot_2026_05_26.json,snapshot_2026_05_23.json
179,map,greater-baltimore,Greater Baltimore,rslurry,slurry,https://github.com/rslurry,1,1,105,105,104,104,snapshot_2026_05_26.json,snapshot_2026_05_23.json
180,map,memphis,Memphis,rslurry,slurry,https://github.com/rslurry,1,1,99,99,98,98,snapshot_2026_05_26.json,snapshot_2026_05_23.json
181,map,willamette-valley,"Willamette Valley, OR",Phineapoo,Phineapoo,https://github.com/Phineapoo,1,1,85,85,84,84,snapshot_2026_05_26.json,snapshot_2026_05_23.json
182,map,saltillo,Saltillo,rslurry,slurry,https://github.com/rslurry,1,1,84,84,83,83,snapshot_2026_05_26.json,snapshot_2026_05_23.json
183,map,palermo,Palermo,Maximilian284,max02,https://github.com/Maximilian284,1,1,79,79,78,78,snapshot_2026_05_26.json,snapshot_2026_05_23.json
184,map,wilmington-nc,"Wilmington, NC",PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,1,78,78,77,77,snapshot_2026_05_26.json,snapshot_2026_05_23.json
185,map,charleston-sc,"Charleston, SC",PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,1,75,75,74,74,snapshot_2026_05_26.json,snapshot_2026_05_23.json
186,map,yukina-toyama,富山 (Toyama),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,1,73,73,72,72,snapshot_2026_05_26.json,snapshot_2026_05_23.json
187,map,yukina-shizuoka-hamamatsu,静岡・浜松 (Shizuoka/Hamamatsu),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,1,65,65,64,64,snapshot_2026_05_26.json,snapshot_2026_05_23.json
188,map,yukina-asahikawa,旭川 (Asahikawa),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,1,64,64,63,63,snapshot_2026_05_26.json,snapshot_2026_05_23.json
189,map,yukina-takamatsu,高松 (Takamatsu),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,1,61,61,60,60,snapshot_2026_05_26.json,snapshot_2026_05_23.json
190,map,mfn-rdu,Raleigh,crumpetime,muffintime,https://github.com/crumpetime,1,1,59,59,58,58,snapshot_2026_05_26.json,snapshot_2026_05_23.json
191,map,yukina-tsugaru,津軽 (Tsugaru),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,1,55,55,54,54,snapshot_2026_05_26.json,snapshot_2026_05_23.json
192,map,yukina-nakadoori,中通り (Nakadōri),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,1,38,38,37,37,snapshot_2026_05_26.json,snapshot_2026_05_23.json
193,map,akron-oh,"Akron, OH",bean1322,bean1322,https://github.com/bean1322,1,1,29,29,28,28,snapshot_2026_05_26.json,snapshot_2026_05_23.json
194,map,johor-bahru,Johor Bahru,nzh0172,naz,https://github.com/nzh0172,1,1,27,27,26,26,snapshot_2026_05_26.json,snapshot_2026_05_23.json
195,map,jeju-4,Jeju (40km×40km),kimth9,kimth9,https://github.com/kimth9,1,1,24,24,23,23,snapshot_2026_05_26.json,snapshot_2026_05_23.json
196,map,ipoh,Ipoh,nzh0172,naz,https://github.com/nzh0172,1,1,19,19,18,18,snapshot_2026_05_26.json,snapshot_2026_05_23.json
197,map,yukina-morioka,盛岡 (Morioka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,1,18,18,17,17,snapshot_2026_05_26.json,snapshot_2026_05_23.json
198,map,greater-kuala-lumpur,Greater Kuala Lumpur,nzh0172,naz,https://github.com/nzh0172,0,0,259,259,259,259,snapshot_2026_05_26.json,snapshot_2026_05_23.json
199,map,bucharest-medium,Bucharest,metatablestudios,metatablestudios,https://github.com/metatablestudios,0,0,228,132,228,132,snapshot_2026_05_26.json,snapshot_2026_05_23.json
200,map,jerusalem,Jerusalem,BarKuperman,BarKuperman,https://github.com/BarKuperman,0,0,194,194,194,194,snapshot_2026_05_26.json,snapshot_2026_05_23.json
201,map,waterloo,Region of Waterloo,Kronifer,Kronifer,https://github.com/Kronifer,0,0,146,132,146,132,snapshot_2026_05_26.json,snapshot_2026_05_23.json
202,map,yukina-niigata,新潟 (Niigata),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,0,0,126,126,126,126,snapshot_2026_05_26.json,snapshot_2026_05_23.json
203,map,louisville,Louisville,soccerjonj,soccerjonj,https://github.com/soccerjonj,0,0,115,115,115,115,snapshot_2026_05_26.json,snapshot_2026_05_23.json
204,map,mfn-hamptonroads,Norfolk,crumpetime,muffintime,https://github.com/crumpetime,0,3,113,104,113,101,snapshot_2026_05_26.json,snapshot_2026_05_23.json
205,map,mfn-northwestar,Northwest Arkansas,crumpetime,muffintime,https://github.com/crumpetime,0,0,104,104,104,104,snapshot_2026_05_26.json,snapshot_2026_05_23.json
206,map,piedmont-triad,Piedmont Triad,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,0,1,90,86,90,85,snapshot_2026_05_26.json,snapshot_2026_05_23.json
207,map,knoxville,Knoxville,rslurry,slurry,https://github.com/rslurry,0,1,60,45,60,44,snapshot_2026_05_26.json,snapshot_2026_05_23.json
208,map,toledo-oh,Toledo,bean1322,bean1322,https://github.com/bean1322,0,0,34,34,34,34,snapshot_2026_05_26.json,snapshot_2026_05_23.json
209,map,yukina-tottori,鳥取 (Tottori),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,0,0,12,12,12,12,snapshot_2026_05_26.json,snapshot_2026_05_23.json
