rank,listing_type,id,name,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,latest_snapshot
143,map,yukina-toyama,富山 (Toyama),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,67,67,snapshot_2026_05_12.json
144,map,yukina-cz-plzen,Plzeň,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,62,62,snapshot_2026_05_12.json
145,map,charleston-sc,"Charleston, SC",PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,60,60,snapshot_2026_05_12.json
146,map,knoxville,Knoxville,rslurry,slurry,https://github.com/rslurry,60,39,snapshot_2026_05_12.json
147,map,tijuana-san-diego,Tijuana-San Diego,rslurry,slurry,https://github.com/rslurry,60,60,snapshot_2026_05_12.json
148,map,yukina-pl-gdansk,Gdańsk,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,60,60,snapshot_2026_05_12.json
149,map,yukina-shizuoka-hamamatsu,静岡・浜松 (Shizuoka/Hamamatsu),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,57,57,snapshot_2026_05_12.json
150,map,daejeon-4,Daejeon (40km×40km),kimth9,kimth9,https://github.com/kimth9,56,56,snapshot_2026_05_12.json
151,map,gwangju-4,Gwangju (40km×40km),kimth9,kimth9,https://github.com/kimth9,56,56,snapshot_2026_05_12.json
152,map,yukina-takamatsu,高松 (Takamatsu),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,56,56,snapshot_2026_05_12.json
153,map,yukina-asahikawa,旭川 (Asahikawa),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,55,55,snapshot_2026_05_12.json
154,map,yukina-tsugaru,津軽 (Tsugaru),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,50,50,snapshot_2026_05_12.json
155,map,yukina-okayama,岡山 (Okayama),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,48,48,snapshot_2026_05_12.json
156,map,cdmx-core,CDMX Core,rslurry,slurry,https://github.com/rslurry,47,47,snapshot_2026_05_12.json
157,map,gwangju-3,Gwangju (30km×30km),kimth9,kimth9,https://github.com/kimth9,47,47,snapshot_2026_05_12.json
158,map,pianura-emiliana,Pianura Emiliana,Maximilian284,max02,https://github.com/Maximilian284,47,47,snapshot_2026_05_12.json
159,map,riviera-romagnola,Riviera Romagnola,Maximilian284,max02,https://github.com/Maximilian284,47,47,snapshot_2026_05_12.json
160,map,yukina-pl-wroclaw,Wrocław,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,47,47,snapshot_2026_05_12.json
161,map,mfn-rdu,Raleigh,crumpetime,muffintime,https://github.com/crumpetime,46,46,snapshot_2026_05_12.json
162,map,yukina-cz-ustecko-chomutov,Ústí nad Labem - Chomutov,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,46,46,snapshot_2026_05_12.json
163,map,dayton-oh,Dayton,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,42,42,snapshot_2026_05_12.json
164,map,yukina-cz-olomouc,Olomouc,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,42,42,snapshot_2026_05_12.json
165,map,pulau-pinang,Pulau Pinang,nzh0172,naz,https://github.com/nzh0172,40,40,snapshot_2026_05_12.json
166,map,ulsan-3,Ulsan (30km×30km),kimth9,kimth9,https://github.com/kimth9,39,39,snapshot_2026_05_12.json
