date_or_hour,dimension,metric,visits
2026-04-18,pages,/railyard/maps/greatertwincities,1
2026-04-18,pages,/railyard/maps/guadalajara/changelog/1.0.0,1
2026-04-18,pages,/railyard/maps/ipoh,1
2026-04-18,pages,/railyard/maps/jacksonville/changelog/1.0.0,1
2026-04-18,pages,/railyard/maps/knoxville,1
2026-04-18,pages,/railyard/maps/knoxville/changelog/1.1.1,1
2026-04-18,pages,/railyard/maps/los-angeles-county/changelog/1.0.0,1
2026-04-18,pages,/railyard/maps/madrid,1
2026-04-18,pages,/railyard/maps/memphis,1
2026-04-18,pages,/railyard/maps/mfn-hong-kong,2
2026-04-18,pages,/railyard/maps/mfn-lasvegas,1
2026-04-18,pages,/railyard/maps/mfn-northwestar/changelog/1.0.0,1
2026-04-18,pages,/railyard/maps/mfn-rdu,1
2026-04-18,pages,/railyard/maps/montreal/changelog/1.0.1,1
2026-04-18,pages,/railyard/maps/nashville,2
2026-04-18,pages,/railyard/maps/orange-county,1
2026-04-18,pages,/railyard/maps/pyongyang-nk/changelog/1.0.0,1
2026-04-18,pages,/railyard/maps/quebec-city/changelog/1.0.1,1
2026-04-18,pages,/railyard/maps/singapore-val,2
2026-04-18,pages,/railyard/maps/singapore-val/changelog/1.0.0,1
2026-04-18,pages,/railyard/maps/toledo-oh,1
2026-04-18,pages,/railyard/maps/toronto,1
2026-04-18,pages,/railyard/maps/trondheim-val,1
2026-04-18,pages,/railyard/maps/turin,1
2026-04-18,pages,/railyard/maps/valencia/changelog/1.0.0,1
2026-04-18,pages,/railyard/maps/warsaw-val,4
2026-04-18,pages,/railyard/maps/winnipeg/changelog/1.0.1,1
2026-04-18,pages,/railyard/maps/yukina-hiroshima-kure,5
2026-04-18,pages,/railyard/maps/yukina-kobe-akashi,1
2026-04-18,pages,/railyard/maps/yukina-kyoto,1
2026-04-18,pages,/railyard/maps/yukina-nakaumi,2
2026-04-18,pages,/railyard/maps/yukina-nakaumi/changelog/0.1.0,1
2026-04-18,pages,/railyard/maps/yukina-okayama,1
2026-04-18,pages,/railyard/maps/yukina-okinawa,4
2026-04-18,pages,/railyard/maps/yukina-osaka/changelog/0.1.3,1
2026-04-18,pages,/railyard/maps/yukina-sapporo-chitose,3
2026-04-18,pages,/railyard/maps/yukina-tsugaru,1
2026-04-18,pages,/railyard/mods/advanced-analytics,13
2026-04-18,pages,/railyard/mods/citymapper,3
2026-04-18,pages,/railyard/mods/citymapper/changelog/v0.2.0,1
2026-04-18,pages,/railyard/mods/danield1909-dantrains,5
2026-04-18,pages,/railyard/mods/danield1909-dantrains/changelog/v1.0.0,1
2026-04-18,pages,/railyard/mods/distance-circles,2
2026-04-18,pages,/railyard/mods/game-speedup,1
2026-04-18,pages,/railyard/mods/network-status,3
2026-04-18,pages,/railyard/mods/simple-trains,7
2026-04-18,pages,/railyard/mods/station-dots,1
2026-04-18,pages,/railyard/mods/station-dots/changelog/v1.1.0,1
2026-04-18,pages,/railyard/mods/subwaybuilder-regions,1
2026-04-18,pages,/railyard/mods/transit-overlay,3
2026-04-18,pages,/railyard/mods/valdotoriums-trains,1
2026-04-18,pages,/railyard/mods/valdotoriums-trains/changelog/v0.1.7,1
2026-04-18,pages,/railyard/updates,7
2026-04-18,pages,/railyard/updates/v0.1.0,1
2026-04-18,pages,/railyard/updates/v0.1.1,1
2026-04-18,pages,/railyard/updates/v0.1.3,2
2026-04-18,pages,/railyard/updates/v0.1.4,1
2026-04-18,pages,/railyard/updates/v0.1.5,2
2026-04-18,pages,/railyard/updates/v0.2.1,2
2026-04-18,pages,/registry,12
2026-04-18,pages,/registry/author/Valdotorium,1
2026-04-18,pages,/registry/author/crumpetime,1
2026-04-18,pages,/registry/authors/Bobby-047,1
2026-04-18,pages,/registry/authors/DanielD1909,1
2026-04-18,pages,/registry/authors/Gio1112,1
2026-04-18,pages,/registry/authors/stefanorigano,1
2026-04-18,pages,/registry/map/bologna,5
2026-04-18,pages,/registry/maps/baltimore-dc-corridor,2
2026-04-18,pages,/registry/maps/bangkok,1
2026-04-18,pages,/registry/maps/bari,1
2026-04-18,pages,/registry/maps/berlin-val,5
2026-04-18,pages,/registry/maps/bologna,1
2026-04-18,pages,/registry/maps/busan-3,1
2026-04-18,pages,/registry/maps/catania,1
2026-04-18,pages,/registry/maps/ciudad-de-mexico,1
2026-04-18,pages,/registry/maps/florence,1
2026-04-18,pages,/registry/maps/garda-lake,1
2026-04-18,pages,/registry/maps/genoa,1
2026-04-18,pages,/registry/maps/glasgow-edinburgh,3
2026-04-18,pages,/registry/maps/greater-kuala-lumpur,3
2026-04-18,pages,/registry/maps/greatertwincities,1
2026-04-18,pages,/registry/maps/ipoh,1
2026-04-18,pages,/registry/maps/jeju-3,1
2026-04-18,pages,/registry/maps/jelegend-tokyo,1
2026-04-18,pages,/registry/maps/jerusalem,1
2026-04-18,pages,/registry/maps/johor-bahru,1
2026-04-18,pages,/registry/maps/madrid,2
