date_or_hour,metric,visits
2026-05-04,PL,1
2026-05-04,RS,2
2026-05-04,RU,12
2026-05-04,SE,2
2026-05-04,SG,1
2026-05-04,TR,4
2026-05-04,US,28
2026-05-05,AU,6
2026-05-05,BR,4
2026-05-05,CA,4
2026-05-05,CH,12
2026-05-05,CN,1
2026-05-05,DE,11
2026-05-05,ES,2
2026-05-05,FR,1
2026-05-05,GB,18
2026-05-05,HK,1
2026-05-05,IE,1
2026-05-05,IL,1
2026-05-05,KH,1
2026-05-05,NL,2
2026-05-05,PL,1
2026-05-05,RO,3
2026-05-05,SE,2
2026-05-05,SG,1
2026-05-05,SK,2
2026-05-05,US,101
2026-05-06,AL,1
2026-05-06,AU,10
2026-05-06,BD,2
2026-05-06,BR,1
2026-05-06,CA,4
2026-05-06,CH,1
2026-05-06,CN,1
2026-05-06,CO,1
2026-05-06,DE,45
2026-05-06,FR,5
2026-05-06,GB,1
2026-05-06,HK,1
2026-05-06,ID,3
2026-05-06,IE,1
2026-05-06,IQ,1
2026-05-06,IT,2
2026-05-06,KE,3
2026-05-06,KW,1
2026-05-06,LB,1
2026-05-06,MA,1
2026-05-06,MY,2
2026-05-06,PL,6
2026-05-06,PT,1
2026-05-06,SA,1
2026-05-06,SG,1
2026-05-06,TW,3
2026-05-06,US,48
2026-05-06,UZ,2
2026-05-06,VE,1
2026-05-06,VN,24
2026-05-07,AU,3
2026-05-07,BR,1
2026-05-07,CA,3
2026-05-07,CL,1
2026-05-07,CZ,1
2026-05-07,DE,4
2026-05-07,FR,2
2026-05-07,GB,11
2026-05-07,IL,3
2026-05-07,NL,1
2026-05-07,PL,2
2026-05-07,SE,1
2026-05-07,SG,6
2026-05-07,SK,1
2026-05-07,T1,1
2026-05-07,TH,1
2026-05-07,US,45
2026-05-07,VN,1
2026-05-07,ZA,3
2026-05-08,AT,3
2026-05-08,BR,1
2026-05-08,CA,5
2026-05-08,CH,3
2026-05-08,CN,3
2026-05-08,CZ,7
2026-05-08,DE,6
2026-05-08,ES,6
2026-05-08,GB,15
2026-05-08,HK,1
2026-05-08,MY,1
2026-05-08,NL,15
2026-05-08,NO,3
2026-05-08,PL,26
