rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot,map_download_change,adjusted_map_download_change,mod_download_change,adjusted_mod_download_change
81,maxcheng95/taiwanese-trains-for-subway-builder,Taiwanese-Trains-for-Subway-Builder,MaxCheng95,MaxCheng95,https://github.com/MaxCheng95,1,4,4,14,14,10,10,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,4,4
82,kaicardenas0618/chinese-trains,chinese-trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,3,3,532,532,529,529,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,3,3
83,danield1909/improvedtwincities,improvedTwinCities,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,3,3,503,503,500,500,snapshot_2026_09_23.json,snapshot_2026_09_20.json,3,3,0,0
84,kaicardenas0618/subway-builder-sfl,subway-builder-sfl,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,3,3,453,453,450,450,snapshot_2026_09_23.json,snapshot_2026_09_20.json,3,3,0,0
85,worstboyinaustral1a/subway-builder-za,subway-builder-za,worstboyinaustral1a,worstboyinaustral1a,https://github.com/worstboyinaustral1a,1,3,3,387,387,384,384,snapshot_2026_09_23.json,snapshot_2026_09_20.json,3,3,0,0
86,prodigious-penguin/penguin-approved-rolling-stock,Penguin-Approved-Rolling-Stock,prodigious-penguin,prodigious-penguin,https://github.com/prodigious-penguin,1,3,3,242,242,239,239,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,3,3
87,seanyushoumori/copy-paste,copy-paste,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,3,3,213,213,210,210,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,3,3
88,pierreggt/subway-builder-ankara,subway-builder-ankara,pierreggt,pierreggt,https://github.com/pierreggt,1,3,3,162,162,159,159,snapshot_2026_09_23.json,snapshot_2026_09_20.json,3,3,0,0
89,crumpetime/sb-maps-orf,sb-maps-orf,crumpetime,muffintime,https://github.com/crumpetime,1,2,2,330,330,328,328,snapshot_2026_09_23.json,snapshot_2026_09_20.json,2,2,0,0
90,jaytotheay/subwaybuilder-map,subwaybuilder-map,JayToTheAy,JayToTheAy,https://github.com/JayToTheAy,1,2,2,165,165,163,163,snapshot_2026_09_23.json,snapshot_2026_09_20.json,2,2,0,0
91,pierreggt/subway-builder-antalya,subway-builder-antalya,pierreggt,pierreggt,https://github.com/pierreggt,1,2,2,101,101,99,99,snapshot_2026_09_23.json,snapshot_2026_09_20.json,2,2,0,0
92,kaicardenas0618/lrt-trains,lrt-trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,1,1,1158,1158,1157,1157,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,1,1
93,tesarzh/railyard,railyard,Tesarzh,Tesarzh,https://github.com/Tesarzh,1,1,1,275,275,274,274,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,1,1
94,xoaninc/madrid-transit-pack,madrid-transit-pack,xoaninc,xoaninc,https://github.com/xoaninc,1,1,1,207,207,206,206,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,1,1
95,giannons46/sofia-subway-builder-map,sofia-subway-builder-map,giannons46,giannons46,https://github.com/giannons46,1,1,1,184,184,183,183,snapshot_2026_09_23.json,snapshot_2026_09_20.json,1,1,0,0
96,hernang87/amba-buenos-aires-metropolitan-area-for-subway-builder,AMBA-Buenos-Aires-Metropolitan-Area-for-Subway-Builder,hernang87,hernang87,https://github.com/hernang87,1,1,1,155,155,154,154,snapshot_2026_09_23.json,snapshot_2026_09_20.json,1,1,0,0
97,nzh0172/sb-hideandseek,sb-hideandseek,nzh0172,naz,https://github.com/nzh0172,1,1,1,149,149,148,148,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,1,1
98,crumpetime/sb-maps-rsw,sb-maps-rsw,crumpetime,muffintime,https://github.com/crumpetime,1,1,1,78,78,77,77,snapshot_2026_09_23.json,snapshot_2026_09_20.json,1,1,0,0
